INSTNM,CITY,STABBR,REGION,REGION_NAME,CONTROL,CONTROL_NAME,ADM_RATE,SAT_AVG,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,GRAD_RATE,MD_EARN_WNE_P10
New Mexico State University-Main Campus,Las Cruces,NM,6,Southwest,1,Public,0.8897,1011.0,11946,8183,25307,0.5517,39067
New York University,New York,NY,2,Mid East,2,Private nonprofit,0.0923,1520.0,28663,62796,62796,0.8757,82509
North Carolina A & T State University,Greensboro,NC,5,Southeast,1,Public,0.499,1074.0,12182,6813,20673,0.5718,44440
North Carolina State University at Raleigh,Raleigh,NC,5,Southeast,1,Public,0.4174,1376.0,27371,8799,32847,0.8476,68758
Northeastern University,Boston,MA,1,New England,2,Private nonprofit,0.0522,1497.0,17326,66162,66162,0.9054,92538
Northern Arizona University,Flagstaff,AZ,6,Southwest,1,Public,0.8961,,22903,13009,29881,0.6132,54384
Northern Illinois University,Dekalb,IL,3,Great Lakes,1,Public,0.6979,,11301,13248,13248,0.4866,57808
Northwestern University,Evanston,IL,3,Great Lakes,2,Private nonprofit,0.0769,1533.0,9201,68322,68322,0.9513,89363
Oakland University,Rochester Hills,MI,3,Great Lakes,1,Public,0.8784,1120.0,12351,15262,23188,0.5756,58612
Ohio State University-Main Campus,Columbus,OH,3,Great Lakes,1,Public,0.6057,1387.0,45638,13244,40022,0.8772,60409
Ohio University-Main Campus,Athens,OH,3,Great Lakes,1,Public,0.8499,1212.0,19633,14158,24838,0.6545,52581
Oklahoma State University-Main Campus,Stillwater,OK,6,Southwest,1,Public,0.7504,1150.0,21773,10234,25754,0.6817,57413
Old Dominion University,Norfolk,VA,5,Southeast,1,Public,0.9036,1197.0,17514,12750,33780,0.4632,54914
Oregon State University,Corvallis,OR,8,Far West,1,Public,0.773,1290.0,30743,14400,38190,0.7011,64010
Pennsylvania State University-Main Campus,University Park,PA,2,Mid East,1,Public,0.6056,1337.0,42284,20644,41790,0.8609,63435
Pomona College,Claremont,CA,8,Far West,2,Private nonprofit,0.0709,1534.0,1666,65420,65420,0.932,77779
Portland State University,Portland,OR,8,Far West,1,Public,0.9087,,13182,11679,31074,0.5266,57906
